mu,sigma,ll
2,1,-7248.145866
2.001,1,-7245.199561
1.999,1,-7251.093172
2,1.001,-7236.505914
2,0.999,-7259.822794
2.245054689,1.969509257,-3049.97199
2.246054689,1.969509257,-3049.275606
2.244054689,1.969509257,-3050.668632
2.245054689,1.970509257,-3049.004978
2.245054689,1.968509257,-3050.940992
2.313180288,2.058923171,-2928.018321
2.314180288,2.058923171,-2927.397178
2.312180288,2.058923171,-2928.639699
2.313180288,2.059923171,-2927.254736
2.313180288,2.057923171,-2928.783491
2.772785054,2.432558188,-2543.104043
2.773785054,2.432558188,-2542.736729
2.771785054,2.432558188,-2543.471525
2.772785054,2.433558188,-2542.910936
2.772785054,2.431558188,-2543.297726
3.286158244,2.626594171,-2372.559876
3.287158244,2.626594171,-2372.31924
3.285158244,2.626594171,-2372.800657
3.286158244,2.627594171,-2372.569204
3.286158244,2.625594171,-2372.550828
4.132685643,2.698387543,-2230.048809
4.133685643,2.698387543,-2229.937068
4.131685643,2.698387543,-2230.160688
4.132685643,2.699387543,-2230.183429
4.132685643,2.697387543,-2229.914314
4.974736787,2.510545606,-2154.814884
4.975736787,2.510545606,-2154.819395
4.973736787,2.510545606,-2154.810532
4.974736787,2.511545606,-2154.962033
4.974736787,2.509545606,-2154.667876
5.214893204,2.189475732,-2124.668644
5.215893204,2.189475732,-2124.724672
5.213893204,2.189475732,-2124.612825
5.214893204,2.190475732,-2124.739992
5.214893204,2.188475732,-2124.597616
5.009959883,1.926225869,-2110.66941
5.010959883,1.926225869,-2110.686566
5.008959883,1.926225869,-2110.652524
5.009959883,1.927225869,-2110.632155
5.009959883,1.925225869,-2110.707263
4.913354202,2.019622139,-2109.222546
4.914354202,2.019622139,-2109.214467
4.912354202,2.019622139,-2109.230869
4.913354202,2.020622139,-2109.235285
4.913354202,2.018622139,-2109.210278
4.946511432,1.997172669,-2108.922715
4.947511432,1.997172669,-2108.922766
4.945511432,1.997172669,-2108.922914
4.946511432,1.998172669,-2108.924715
4.946511432,1.996172669,-2108.921214
4.94623334,1.993080253,-2108.919771
4.94723334,1.993080253,-2108.919753
4.94523334,1.993080253,-2108.920041
4.94623334,1.994080253,-2108.919722
4.94623334,1.992080253,-2108.920324
4.946872501,1.993678604,-2108.919641
4.947872501,1.993678604,-2108.919783
4.945872501,1.993678604,-2108.91975
4.946872501,1.994678604,-2108.919892
4.946872501,1.992678604,-2108.919892
4.94680327,1.993679547,-2108.91964
4.94780327,1.993679547,-2108.919765
4.94580327,1.993679547,-2108.919766
4.94680327,1.994679547,-2108.919892
4.94680327,1.992679547,-2108.919891
4.94680327,1.993679547,-2108.91964
4.94680327,1.993679547,-2108.91964
5.441483597,1.993679547,-2139.702183
4.452122943,1.993679547,-2139.702762
5.194143434,1.993679547,-2116.615203
4.699463107,1.993679547,-2116.615493
5.070473352,1.993679547,-2110.843495
4.823133189,1.993679547,-2110.84364
5.008638311,1.993679547,-2109.400586
4.88496823,1.993679547,-2109.400658
4.94680327,2.193047502,-2117.453107
4.94680327,1.794311593,-2120.842877
4.94680327,2.093363525,-2111.224622
4.94680327,1.89399557,-2111.642875
4.94680327,2.043521536,-2109.519491
4.94680327,1.943837559,-2109.571545
4.94680327,2.018600542,-2109.07271
4.94680327,1.968758553,-2109.07918
5.441483597,2.193047502,-2142.893225
4.452122943,1.794311593,-2158.846731
5.194143434,2.093363525,-2118.204725
4.699463107,1.89399557,-2120.170136
5.070473352,2.043521536,-2111.350644
4.823133189,1.943837559,-2111.595476
5.008638311,2.018600542,-2109.541853
4.88496823,1.968758553,-2109.572452
4.94680327,1.993679547,-2108.91964
4.947297951,1.993679547,-2108.919671
4.94630859,1.993679547,-2108.919671
4.94680327,1.993878915,-2108.91965
4.94680327,1.993480179,-2108.91965
4.947050611,1.993679547,-2108.919648
4.94655593,1.993679547,-2108.919648
4.94680327,1.993779231,-2108.919643
4.94680327,1.993579863,-2108.919642
4.94692694,1.993679547,-2108.919642
4.9466796,1.993679547,-2108.919642
4.94680327,1.993729389,-2108.919641
4.94680327,1.993629705,-2108.919641
4.946865105,1.993679547,-2108.919641
4.946741435,1.993679547,-2108.919641
4.94680327,1.993704468,-2108.91964
4.94680327,1.993654626,-2108.91964